1;Atlanta United FC;Montreal Impact;Mercedes-Benz Stadium;MLS-MAT-0005TM;en es
1;Austin FC;Sporting Kansas City;Q2 Stadium;MLS-MAT-0005TR;en es
1;FC Cincinnati;New York Red Bulls;TQL Stadium;MLS-MAT-0005TN;en es
1;Columbus Crew Sc;Chicago Fire FC;Lower.com Field;MLS-MAT-0005TO;en
1;D.C. United;Toronto FC;Audi Field;MLS-MAT-0005TP;en es
1;Houston Dynamo FC;FC Dallas;Shell Energy Stadium;MLS-MAT-0005TS;en es
1;LA Galaxy;San Diego FC;Dignity Health Sports Park;MLS-MAT-0005SJ;en es
1;Los Angeles FC;Minnesota United FC;BMO Stadium;MLS-MAT-0005TL;en es
1;Inter Miami CF;New York City FC;Chase Stadium;MLS-MAT-0005TK;en es
1;Nashville SC;New England Revolution;Geodis Park;MLS-MAT-0005TT;en
1;Orlando City SC;Philadelphia Union;Inter&Co Stadium;MLS-MAT-0005TQ;en
1;Portland Timbers;Vancouver Whitecaps FC;Providence Park;MLS-MAT-0005TX;en es
1;San Jose Earthquakes;Real Salt Lake;PayPal Park;MLS-MAT-0005TV;en es
1;Seattle Sounders FC;Charlotte FC;Lumen Field;MLS-MAT-0005TW;en
1;St. Louis City SC;Colorado Rapids;Energizer Park;MLS-MAT-0005TU;en es
2;Charlotte FC;Atlanta United FC;Bank of America Stadium;MLS-MAT-0005TY;en es
2;Chicago Fire FC;D.C. United;Soldier Field;MLS-MAT-0005U4;en es
2;Colorado Rapids;FC Dallas;Dick's Sporting Goods Park;MLS-MAT-0005U7;en es
2;Houston Dynamo FC;Inter Miami CF;Shell Energy Stadium;MLS-MAT-0005UB;en es
2;Sporting Kansas City;San Jose Earthquakes;Children's Mercy Park;MLS-MAT-0005U5;en es
2;Los Angeles FC;New York City FC;BMO Stadium;MLS-MAT-0005U8;en es
2;Minnesota United FC;Montreal Impact;Allianz Field;MLS-MAT-0005U6;en es
2;New England Revolution;Columbus Crew Sc;Gillette Stadium;MLS-MAT-0005U0;en
2;New York Red Bulls;Nashville SC;Sports Illustrated Stadium;MLS-MAT-0005U1;en es
2;Orlando City SC;Toronto FC;Inter&Co Stadium;MLS-MAT-0005U2;en
2;Philadelphia Union;FC Cincinnati;Subaru Park;MLS-MAT-0005U3;en
2;Portland Timbers;Austin FC;Providence Park;MLS-MAT-0005U9;en es
2;Real Salt Lake;Seattle Sounders FC;America First Field;MLS-MAT-0005TZ;en es
2;San Diego FC;St. Louis City SC;Snapdragon Stadium;MLS-MAT-0005SK;en es
2;Vancouver Whitecaps FC;LA Galaxy;BC Place;MLS-MAT-0005UA;en
3;Atlanta United FC;New York Red Bulls;Mercedes-Benz Stadium;MLS-MAT-0005UE;en es
3;Austin FC;Colorado Rapids;Q2 Stadium;MLS-MAT-0005UJ;en es
3;FC Cincinnati;Toronto FC;TQL Stadium;MLS-MAT-0005UF;en es
3;Columbus Crew Sc;Houston Dynamo FC;Lower.com Field;MLS-MAT-0005UC;en
3;D.C. United;Sporting Kansas City;Audi Field;MLS-MAT-0005UG;en es
3;FC Dallas;Chicago Fire FC;Toyota Stadium;MLS-MAT-0005UK;en
3;LA Galaxy;St. Louis City SC;Dignity Health Sports Park;MLS-MAT-0005UQ;en es
3;Inter Miami CF;Charlotte FC;Chase Stadium;MLS-MAT-0005UP;en es
3;Nashville SC;Portland Timbers;Geodis Park;MLS-MAT-0005UL;en
3;New England Revolution;Philadelphia Union;Gillette Stadium;MLS-MAT-0005UH;en
3;New York City FC;Orlando City SC;Yankee Stadium;MLS-MAT-0005UI;en es
3;Real Salt Lake;San Diego FC;America First Field;MLS-MAT-0005UM;en es
3;San Jose Earthquakes;Minnesota United FC;PayPal Park;MLS-MAT-0005UN;en es
3;Seattle Sounders FC;Los Angeles FC;Lumen Field;MLS-MAT-0005UD;en
3;Vancouver Whitecaps FC;Montreal Impact;BC Place;MLS-MAT-0005UO;en
4;Atlanta United FC;Inter Miami CF;Mercedes-Benz Stadium;MLS-MAT-0005V5;en es
4;Charlotte FC;FC Cincinnati;Bank of America Stadium;MLS-MAT-0005UU;en es
4;D.C. United;Montreal Impact;Audi Field;MLS-MAT-0005UV;en es
4;FC Dallas;Vancouver Whitecaps FC;Toyota Stadium;MLS-MAT-0005UZ;en
4;Houston Dynamo FC;Real Salt Lake;Shell Energy Stadium;MLS-MAT-0005V0;en es
4;Sporting Kansas City;Minnesota United FC;Children's Mercy Park;MLS-MAT-0005UY;en es
4;Los Angeles FC;Austin FC;BMO Stadium;MLS-MAT-0005UT;en es
4;New York Red Bulls;Orlando City SC;Sports Illustrated Stadium;MLS-MAT-0005UX;en es
4;New York City FC;New England Revolution;Yankee Stadium;MLS-MAT-0005UW;en es
4;Philadelphia Union;Nashville SC;Subaru Park;MLS-MAT-0005UR;en
4;Portland Timbers;LA Galaxy;Providence Park;MLS-MAT-0005V4;en es
4;San Diego FC;Columbus Crew Sc;Snapdragon Stadium;MLS-MAT-0005V2;en es
4;San Jose Earthquakes;Colorado Rapids;PayPal Park;MLS-MAT-0005V3;en es
4;St. Louis City SC;Seattle Sounders FC;Energizer Park;MLS-MAT-0005V1;en es
4;Toronto FC;Chicago Fire FC;BMO Field;MLS-MAT-0005US;en
5;Austin FC;San Diego FC;Q2 Stadium;MLS-MAT-0005VK;en es
5;Charlotte FC;San Jose Earthquakes;Bank of America Stadium;MLS-MAT-0005V8;en es
5;FC Cincinnati;Atlanta United FC;TQL Stadium;MLS-MAT-0005V6;en es
5;Colorado Rapids;Portland Timbers;Dick's Sporting Goods Park;MLS-MAT-0005VG;en es
5;Columbus Crew Sc;New York City FC;Lower.com Field;MLS-MAT-0005V9;en
5;Sporting Kansas City;Los Angeles FC;Children's Mercy Park;MLS-MAT-0005VE;en es
5;Minnesota United FC;LA Galaxy;Allianz Field;MLS-MAT-0005V7;en es
